strongs_number,telugu_word,telugu_meaning,hindi_word,hindi_meaning
H6213,עָשָׂה,విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా),עָשָׂה,व्यापक अर्थ और व्यापक अनुप्रयोग में करना या बनाना (इस प्रकार)
H5414,נָתַן,"ఇవ్వడానికి, అప్లికేషన్ యొక్క గొప్ప అక్షాంశంతో ఉపయోగించబడుతుంది (పుట్, తయారు, మొదలైనవి)",נָתַן,"देना, अनुप्रयोग के अधिकतम अक्षांश के साथ प्रयोग किया जाता है (डालना, बनाना, आदि)"
H3947,לָקַח,తీసుకోవడానికి (వివిధ రకాల అప్లికేషన్లలో),לָקַח,लेने के लिए (अनुप्रयोगों की व्यापक विविधता में)
H7200,רָאָה,"చూడటానికి, అక్షరాలా లేదా అలంకారికంగా (అనేక అనువర్తనాల్లో, ప్రత్యక్ష మరియు పరోక్ష, ట్రాన్సిటివ్, ఇంట్రాన్సిటివ్ మరియు కాసేటివ్)",רָאָה,"देखने के लिए, शाब्दिक या आलंकारिक रूप से (कई अनुप्रयोगों में, प्रत्यक्ष और निहित, सकर्मक, अकर्मक और कारणात्मक)"
H8085,שָׁמַע,"తెలివిగా వినడానికి (తరచుగా శ్రద్ధ, విధేయత మొదలైన వాటితో; కారణం, చెప్పడం మొదలైనవి)",שָׁמַע,"समझदारी से सुनना (अक्सर ध्यान, आज्ञाकारिता, आदि के निहितार्थ के साथ; कारणात्मक रूप से, बताना, आदि)"
H3045,יָדַע,తెలుసుకోవడానికి; (సరిగ్గా) చూడటం ద్వారా నిర్ధారించడానికి,יָדַע,जानने के; (ठीक से) देखकर पता लगाना
H1980,הָלַך,"ఒక ఆదిమ మూలం; నడవడానికి (అనేక రకాల అప్లికేషన్లలో, అక్షరాలా మరియు అలంకారికంగా)",הָלַך,"एक आदिम जड़; चलना (विभिन्न प्रकार के अनुप्रयोगों में, शाब्दिक और आलंकारिक रूप से)"
H0935,בּוֹא,వెళ్ళడానికి లేదా రావడానికి (అనేక రకాల అప్లికేషన్లలో),בּוֹא,जाना या आना (विभिन्न प्रकार के अनुप्रयोगों में)
H8130,שָׂנֵא,ద్వేషించడం (వ్యక్తిగతంగా),שָׂנֵא,नफरत करना (व्यक्तिगत रूप से)
H3372,יָרֵא,"భయపడుటకు; నైతికంగా, గౌరవించటానికి",יָרֵא,"डरना; नैतिक रूप से, आदर करना"
H8055,שָׂמַח,"బహుశా ప్రకాశవంతంగా, అంటే (అలంకారికంగా) ఉబ్బెత్తుగా లేదా ఉల్లాసంగా (కారణంగా, చేయండి)",שָׂמַח,"शायद चमकाने के लिए, यानी (लाक्षणिक रूप से) होना (कारणात्मक रूप से, बनाना) आनंददायक या आनंददायक"
H1058,בָּכָה,ఏడవడానికి; (సాధారణంగా) విలపించుట,בָּכָה,रोना; (आम तौर पर) विलाप करना
H7521,רָצָה,"సంతోషించుటకు; ప్రత్యేకంగా, రుణాన్ని తీర్చడానికి",רָצָה,"प्रसन्न होना; विशेष रूप से, किसी ऋण को पूरा करने के लिए"
H2654,חָפֵץ,(సరిగ్గా) వొంపు; (అర్థం ద్వారా) (వాచ్యంగా కానీ అరుదుగా) వంగడానికి,חָפֵץ,(ठीक से) झुकना; (निहितार्थ से) (शाब्दिक रूप से लेकिन शायद ही कभी) झुकना
H6942,קָדַשׁ,శుభ్రంగా (ఆచారపరంగా లేదా నైతికంగా),קָדַשׁ,"(कारणात्मक रूप से, बनाना, उच्चारण करना या निरीक्षण करना) स्वच्छ होना (औपचारिक या नैतिक रूप से)"
H2077,זֶבַח,"(సరిగ్గా) ఒక వధ, అంటే జంతువు యొక్క మాంసం; (సూచన ద్వారా) ఒక త్యాగం (బాధితుడు లేదా చర్య)",זֶבַח,"(ठीक से) वध, यानी किसी जानवर का मांस; (निहितार्थ से) एक बलिदान (पीड़ित या कृत्य)"
H4196,מִזבֵַּח,ఒక బలిపీఠం,מִזבֵַּח,एक वेदी
H3548,כּוֹהֵן,"(అక్షరాలా) ఒక అధికారి, ఒక పూజారి; (అలాగే, మర్యాదతో) ఒక నటన పూజారి (ఒక సామాన్యుడు అయినప్పటికీ)",כּוֹהֵן,"(वस्तुतः) एक कार्यवाहक, एक पुजारी; (सौजन्य से भी) एक कार्यवाहक पुजारी (हालाँकि एक आम आदमी)"
H5030,נָבִיא,ఒక ప్రవక్త; (సాధారణంగా) ప్రేరణ పొందిన వ్యక్తి,נָבִיא,एक भविष्यवक्ता; (आम तौर पर) प्रेरित आदमी
H4397,מַלאָך,"ఒక దూత; ప్రత్యేకంగా, దేవుని, అనగా ఒక దేవదూత (ప్రవక్త, పూజారి లేదా గురువు కూడా)",מַלאָך,"एक संदेशवाहक; विशेष रूप से, ईश्वर का, यानी एक देवदूत (एक पैगंबर, पुजारी या शिक्षक भी)"
H7891,שִׁיר שׁוּר,పాడటానికి,שִׁיר שׁוּר,गाने के लिए
H8426,תּוֹדָה,"(సరిగ్గా) చేతి యొక్క పొడిగింపు; (సూచన ద్వారా) అవోవల్, లేదా (సాధారణంగా) ఆరాధన",תּוֹדָה,"(ठीक से) हाथ का विस्तार; (निहितार्थ से) अनुमोदन, या (आमतौर पर) आराधना"
G2316,θεός,దేవుడు,θεός,ईश्वर
G2424,Ἰησοῦς,"యేసు, రక్షకుడు",Ἰησοῦς,"यीशु, उद्धारकर्ता"
G5547,Χριστός,"క్రీస్తు, అభిషిక్తుడు",Χριστός,"मसीह, अभिषिक्त व्यक्ति"
G2962,κύριος,"ప్రభువు, గురువు",κύριος,"प्रभु, मालिक"
G4151,πνεῦμα,"ఆత్మ, శ్వాస",πνεῦμα,"आत्मा, श्वास"
G0040,ἅγιος,"పవిత్రమైనది, పవిత్రమైనది",ἅγιος,"पवित्र, पवित्र"
G0026,ἀγάπη,ప్రేమ (దైవిక ప్రేమ),ἀγάπη,प्रेम (दिव्य प्रेम)
G4102,πίστις,"విశ్వాసం, విశ్వాసం",πίστις,"आस्था, विश्वास"
G1680,ἐλπίς,ఆశ,ἐλπίς,आशा
G5479,χαρά,"ఆనందం, ఆనందం",χαρά,"हर्ष, ख़ुशी"
G1515,εἰρήνη,శాంతి,εἰρήνη,शांति
G4991,σωτηρία,"మోక్షం, విముక్తి",σωτηρία,"मोक्ष, मुक्ति"
G4982,σώζω,"రక్షించడానికి, నయం చేయడానికి",σώζω,"बचाने के लिए, ठीक करने के लिए"
G3341,μετάνοια,పశ్చాత్తాపం,μετάνοια,पछतावा
G0907,βαπτίζω,బాప్టిజం ఇవ్వడానికి,βαπτίζω,बपतिस्मा देना
G4100,πιστεύω,"నమ్మకం, విశ్వాసం కలిగి ఉండాలి",πιστεύω,"विश्वास करना, विश्वास रखना"
G1510,εἰμί,"ఉండటానికి, నేను ఉన్నాను",εἰμί,"होने के लिए, मैं हूँ"
G2064,ἔρχομαι,రావడానికి,ἔρχομαι,आने के
G3004,λέγω,"చెప్పడానికి, మాట్లాడటానికి",λέγω,"कहना, बोलना"
G4160,ποιέω,"చేయుటకు, చేయుటకు",ποιέω,"करना, बनाना"
G1492,εἴδω,"చూడటానికి, తెలుసుకోవడానికి",εἴδω,"देखना, जानना"
G0191,ἀκούω,వినడానికి,ἀκούω,सुनने के लिए
G1325,δίδωμι,ఇవ్వడానికి,δίδωμι,दे देना
G2192,σχέω,కలిగి ఉండాలి,σχέω,रखने के लिए
G2980,λαλέω,"మాట్లాడటానికి, మాట్లాడటానికి",λαλέω,"बोलना, बात करना"
G3708,ὁράω,"చూడటానికి, చూడడానికి",ὁράω,"देखना, देखना"
G0444,ἄνθρωπος,"మనిషి, మానవుడు",ἄνθρωπος,"आदमी, इंसान"
G0435,ἀνήρ,"మనిషి, భర్త",ἀνήρ,"आदमी, पति"
G1135,γυνή,"స్త్రీ, భార్య",γυνή,"स्त्री, पत्नी"
G5043,τέκνον,పిల్లవాడు,τέκνον,बच्चा
G0080,ἀδελφός,సోదరుడు,ἀδελφός,भाई
G3962,πατήρ,తండ్రి,πατήρ,पिता
G3384,μήτηρ,తల్లి,μήτηρ,माँ
G2222,ζωή,జీవితం,ζωή,ज़िंदगी
G2288,θάνατος,మరణం,θάνατος,मौत
G0386,ἀνάστασις,పునరుత్థానం,ἀνάστασις,जी उठने
G2889,κόσμος,"ప్రపంచం, విశ్వం",κόσμος,"विश्व, ब्रह्माण्ड"
G0932,βασιλεία,రాజ్యం,βασιλεία,साम्राज्य
G0935,βασιλεύς,రాజు,βασιλεύς,राजा
G2409,ἱερεύς,పూజారి,ἱερεύς,पुजारी
G2411,ἱερόν,దేవాలయం,ἱερόν,मंदिर
G4983,σῶμα,శరీరం,σῶμα,शरीर
G5590,ψυχή,"ఆత్మ, జీవితం",ψυχή,"आत्मा, जीवन"
G2588,καρδία,గుండె,καρδία,दिल
G4750,στόμα,నోరు,στόμα,मुँह
G5495,χείρ,చేయి,χείρ,हाथ
G3788,ὀφθαλμός,కన్ను,ὀφθαλμός,आँख
G2250,ἡμέρα,రోజు,ἡμέρα,दिन
G3571,νύξ,రాత్రి,νύξ,रात
G5610,ὥρα,గంట,ὥρα,घंटा
G2540,καιρός,"సమయం, సీజన్",καιρός,"समय, ऋतु"
G0225,ἀλήθεια,నిజం,ἀλήθεια,सच
G3598,ὁδός,"మార్గం, మార్గం",ὁδός,"रास्ता, पथ"
G2222,ζωή,జీవితం,ζωή,ज़िंदगी
G5457,φῶς,కాంతి,φῶς,रोशनी
G0266,ἁμαρτία,పాపం,ἁμαρτία,पाप
G1343,δικαιοσύνη,నీతి,δικαιοσύνη,धर्म
G3551,νόμος,చట్టం,νόμος,कानून
G5485,χάρις,"గ్రేస్, ఫేవర్",χάρις,"अनुग्रह, एहसान"
G3772,οὐρανός,స్వర్గం,οὐρανός,स्वर्ग
G1093,γῆ,"భూమి, భూమి",γῆ,पृथ्वी भूमि
G2281,θάλασσα,సముద్రం,θάλασσα,समुद्र
G1577,ἐκκλησία,"చర్చి, అసెంబ్లీ",ἐκκλησία,"चर्च, सभा"
G0652,ἀπόστολος,అపోస్తలుడు,ἀπόστολος,प्रेरित
G4396,προφήτης,ప్రవక్త,προφήτης,नबी
G1320,διδάσκαλος,టీచర్,διδάσκαλος,अध्यापक
