Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"עָשָׂה","asah","עשׂה","చేయుట","to do/make","Verb","H6213"
"שִׁלּוּחִים","shilluhim","שׁלח","పంపివేయుట","sending away/dismissal","Noun","H7964"
"גֵּר","ger","גור","పరదేశి","sojourner/stranger","Noun","H1616"
"עֵזֶר","ezer","עזר","సహాయము","help/succor","Noun","H5828"
"נָצַל","natsal","נצל","విడిపించుట","to deliver/rescue","Verb","H5337"
"חֶרֶב","herev","חרב","ఖడ్గము","sword","Noun","H2719"
"שָׁלוֹם","shalom","שׁלם","క్షేమము","peace/welfare","Noun","H7965"
"סָפַר","sapar","ספר","వివరించుట","to recount/tell","Verb","H5608"
"תְּלָאָה","telaah","לאה","కష్టము","hardship/travail","Noun","H8513"
"בָּרוּךְ","baruk","ברך","స్తుతింపబడినవాడు","blessed","Adjective","H1288"
"זָד","zad","זיד","గర్వముగా ప్రవర్తించుట","to act proudly/presumptuously","Verb","H2102"
"שָׁפַט","shapat","שׁפט","తీర్పు తీర్చుట","to judge","Verb","H8199"
"נָבֹל","navol","נבל","వాడిపోవుట/అలసిపోవుట","to wither/wear away","Verb","H5034"
"כָּבֵד","kaved","כבד","భారమైన","heavy/difficult","Adjective","H3515"
"יָעַץ","yaatz","יעץ","ఆలోచన చెప్పుట","to counsel/advise","Verb","H3289"
"חַיִל","chayil","חיל","సామర్థ్యము","ability/valor/strength","Noun","H2428"
"אֱמֶת","emet","אמן","సత్యము","truth/faithfulness","Noun","H571"
"בֶּצַע","batsa","בצע","అన్యాయపు లాభము","unjust gain/covetousness","Noun","H1215"
"שָׂרִים","sarim","שׂר","అధిపతులు","rulers/captains","Noun","H8269"
"חֹדֶשׁ","chodesh","חדשׁ","నెల / మాసము","month / new moon","Noun","H2320"
"מִדְבָּר","midbar","דבר","అరణ్యము","wilderness / desert","Noun","H4057"
"הַר","har","הרר","పర్వతము","mountain / hill","Noun","H2022"
"עָלָה","alah","עלة","ఎక్కుట / పైకి వెళ్ళుట","to go up / ascend","Verb","H5927"
"נֶשֶׁר","nesher","נשׁר","పక్షిరాజు / గద్ద","eagle","Noun","H5404"
"בְּרִית","berit","ברה","నిబంధన","covenant","Noun","H1285"
"סְגֻלָּה","segullah","סגל","స్వకీయ సంపాద్యము","treasured possession / special treasure","Noun","H5459"
"מַמְלֶכֶת","mamlekhet","מלך","రాజ్యము","kingdom","Noun","H4467"
"כֹּהֵן","kohen","כהן","యాజకుడు","priest","Noun","H3548"
"קָדוֹשׁ","kadosh","קדשׁ","పరిశుద్ధమైన","holy / sacred","Adjective","H6918"
"עָנָן","anan","ענן","మేఘము","cloud","Noun","H6051"
"יָרַד","yarad","ירד","దిగుట","to come down / descend","Verb","H3381"
"שׁוֹפָר","shofar","שׁפר","బాకా / కొమ్ము","trumpet / ram's horn","Noun","H7782"
"חָרַד","charad","חרד","వణకుట","to tremble / quake","Verb","H2729"
"עָשָׁן","ashan","עשׁן","పొగ","smoke","Noun","H6227"
"אֱלֹהִים","Elohim","אֱלוֹהַּ","దేవుడు","God","Noun","H430"
"יְהוָה","Yahweh","הָיָה","యెహోవా","LORD","Proper Noun","H3068"
"דָּבָר","Dabar","דָּבַר","మాటలాడు","To speak / Word","Verb","H1696"
"עֶבֶד","Ebed","עָבַד","దాసుడు","Servant / Slave","Noun","H5650"
"פֶּסֶל","Pesel","פָּסַל","విగ్రహము","Idol / Carved image","Noun","H6459"
"שָׁוְא","Shav","שָׁוְא","వ్యర్థము","Vain / Falsehood / Worthless","Noun","H7723"
"זָכַר","Zakar","זָכַר","జ్ఞాపకము చేసుకొను","To remember","Verb","H2142"
"שַׁבָּת","Shabbat","שָׁבַת","విశ్రాంతి దినము","Sabbath / Rest","Noun","H7676"
"קָדַשׁ","Qadash","קָדַשׁ","పరిశుద్ధపరచు","To sanctify / Make holy","Verb","H6942"
"כָּבֵד","Kabad","כָּבֵד","ఘనపరచు","To honor / Glorify","Verb","H3513"
"רָצַח","Ratsach","רָצַח","నరహత్య చేయు","To murder","Verb","H7523"
"נָאַף","Naaph","נָאַף","వ్యభిచరించు","To commit adultery","Verb","H5003"
"גָּנַב","Ganab","גָּנַב","దొంగిలించు","To steal","Verb","H1589"
"עֵד","Ed","עוּד","సాక్షి","Witness","Noun","H5707"
"חָמַד","Chamad","חָמַד","ఆశించు","To covet / Desire","Verb","H2530"
"קוֹל","Qol","קוֹל","స్వరము / శబ్దము","Voice / Sound","Noun","H6963"
"הַר","Har","הָרַר","పర్వతము","Mountain","Noun","H2022"
"יָרֵא","Yare","יָרֵא","భయపడు","To fear / Revere","Verb","H3372"
"מִשְׁפָּט","mishpāṭ","שָׁפַט","న్యాయవిధులు","judgments, ordinances, legal decisions","Noun","H4941"
"עֶבֶד","‘eḇeḏ","עָבַד","దాసుడు","servant, slave","Noun","H5650"
"עִבְרִי","‘iḇrî","עֵבֶר","హెబ్రీయుడు","Hebrew","Adjective","H5680"
"חָפְשִׁי","ḥop̄šî","חָפַשׁ","స్వతంత్రుడు","free, exempt from liberty","Adjective","H2670"
"אֲדֹנָיו","’ăḏōnāyw","אָדֹן","యజమాని","his master, lord","Noun","H113"
"מְזוּזָה","mĕzûzâ","זוּז","ద్వారబంధము","doorpost","Noun","H4201"
"אֹזֶן","’ōzen","אָזַן","చెవి","ear","Noun","H241"
"אָמָה","’āmâ","אָמָה","దాసి","maidservant, female slave","Noun","H519"
"מָוֶת","māweṯ","מוּת","మరణం","death","Noun","H4194"
"מִזְבֵּחַ","mizbēaḥ","זָבַח","బలిపీఠము","altar","Noun","H4196"
"גֹּנֵב","gōnēḇ","גָּנַב","దొంగిలించువాడు","thief, kidnapper","Verb/Participle","H1589"
"אֶבֶן","’eḇen","אֶבֶן","రాయి","stone","Noun","H68"
"מִשְׁעַנְתּוֹ","mish‘antô","שָׁעַן","కర్ర","staff, support","Noun","H4938"
"אָסוֹן","’āsôn","אָסָה","హాని","harm, mischief, fatal accident","Noun","H611"
"עַיִן","‘ayin","עַיִן","కన్ను","eye","Noun","H5869"
"שֵׁן","šēn","שָׁנַן","పన్ను","tooth","Noun","H8127"
"שׁוֹר","šôr","שׁוּר","ఎద్దు","ox, bullock","Noun","H7794"
"בּוֹר","bôr","בּוּר","గోతి","pit, cistern","Noun","H953"
"גָּנַב","ganav","גָּנַב","దొంగిలించు","to steal","Verb","H1589"
"שׁוֹר","shor","שׁוֹר","ఎద్దు","ox","Noun","H7794"
"שֶׂה","seh","שֶׂה","గొర్రె లేదా మేక","sheep or goat","Noun","H7716"
"שִׁלֵּם","shalam","שָׁלַם","తిరిగి చెల్లించు / పరిహారము చేయు","to make restitution / repay","Verb","H7999"
"מַחְתֶּרֶת","machtereth","חָתַר","కన్నము వేయుట","breaking in / tunneling","Noun","H4290"
"דָּמִים","damim","דָּם","రక్తదోషము","bloodguilt","Noun","H1818"
"בָּעַר","baar","בָּעַר","మేయు / దహించు","to graze / consume","Verb","H1197"
"שָׂדֶה","sadeh","שָׂדֶה","పొలము","field","Noun","H7704"
"כֶּרֶם","kerem","כֶּרֶם","ద్రాక్షతోట","vineyard","Noun","H3754"
"קוֹצִים","qotsim","קוֹץ","ముళ్లు","thorns","Noun","H6975"
"קָמָה","qamah","קוּם","పండిన ధాన్యము","standing grain","Noun","H7054"
"פֶּשַׁע","pesha","פָּשַׁע","అతిక్రమము","transgression / trespass","Noun","H6588"
"שַׂלְמָה","salmah","שַׂלְמָה","వస్త్రము","garment","Noun","H8008"
"בְּתוּלָה","betulah","בָּתַל","కన్య","virgin","Noun","H1330"
"מְכַשֵּׁפָה","mekhashefah","כָּשַׁף","మంత్రగత్తె","sorceress","Noun","H3784"
"גֵּר","ger","גּוּר","పరదేశి","sojourner / stranger","Noun","H1616"
"אַלְמָנָה","almanah","אָלַם","విధవరాలు","widow","Noun","H488"
"יָתוֹם","yatom","יָתַם","తండ్రిలేనివాడు / అనాధ","orphan","Noun","H3490"
"נֶשֶׁךְ","neshek","נָשַׁךְ","వడ్డీ","interest / usury","Noun","H5392"
"חַנּוּן","channun","חָנַן","కృపగలవాడు","gracious","Adjective","H2587"
"שֵׁמַע","shema","שׁמע","వార్త / పుకారు","report, rumor, news","Noun","H8089"
"שָׁוְא","shav","שׁוא","అబద్ధం / వ్యర్థం","falsehood, vanity, lie","Noun","H7723"
"עֵד","ed","עוד","సాక్షి","witness","Noun","H5707"
"חָמָס","chamas","חמס","బలాత్కారం / హింస","violence, wrong, cruelty","Noun","H2555"
"רִיב","riv","רוב","వివాదం / జగడం","strife, dispute, lawsuit","Noun","H7379"
"דָּל","dal","דלל","పేదవాడు / దీనుడు","poor, weak, low","Adjective","H1800"
"מִשְׁפָּט","mishpat","שׁפט","న్యాయం / తీర్పు","justice, judgment, ordinance","Noun","H4941"
"אֶבְיוֹן","evyon","אבה","దరిద్రుడు","needy person, poor","Noun","H34"
"שֶׁקֶר","sheqer","שׁקר","అబద్ధం / మోసం","falsehood, lie, deception","Noun","H8267"
"נָקִי","naqi","נקה","నిర్దోషి","innocent, clean, blameless","Adjective","H5355"
"צַדִּיק","tzaddiq","צדק","నీతిమంతుడు","righteous, just","Adjective","H6662"
"שֹׁחַד","shochad","שׁחד","లంచం","bribe, gift","Noun","H7810"
"גֵּר","ger","גור","పరదేశి","stranger, sojourner","Noun","H1616"
"שַׁבָּת","shabbat","שׁבת","విశ్రాంతిదినము","Sabbath, rest","Noun","H7676"
"חָג","chag","חגג","పండుగ","festival, feast","Noun","H2282"
"מַלְאָךְ","mal’ak","לאך","దూత","angel, messenger","Noun","H4397"
"פֶּשַׁע","pesha","פשׁע","తిరుగుబాటు / అతిక్రమం","transgression, rebellion","Noun","H6588"
"בְּרִית","berit","ברה","నిబంధన","covenant, treaty","Noun","H1285"
"מוֹקֵשׁ","moqesh","יקש","ఉరి / బోను","snare, trap, bait","Noun","H4170"
"קָצִיר","qatsir","קצר","కోత / పంట","harvest","Noun","H7105"
"אָמַר","amar","אמר","చెప్పుట","to say/speak","Verb","H559"
"עֲלֵה","alah","עלה","ఎక్కుట","to go up/ascend","Verb","H5927"
"זָקֵן","zaqen","זקן","పెద్ద","elder/old man","Noun","H2205"
"הִשְׁתַּחֲוָה","hishtachavah","חוה","నమస్కరించుట","to worship/bow down","Verb","H7812"
"דָּבָר","dabar","דבר","మాట/విషయము","word/matter","Noun","H1697"
"מִשְׁפָּט","mishpat","שפט","న్యాయవిధి","judgment/ordinance","Noun","H4941"
"מִזְבֵּחַ","mizbeach","זבח","బలిపీఠము","altar","Noun","H4196"
"מַצֵּבָה","matstsebah","נצב","స్తంభము","pillar/monument","Noun","H4676"
"עֹלָה","olah","עלה","దహనబలి","burnt offering","Noun","H5930"
"דָּם","dam","דם","రక్తము","blood","Noun","H1818"
"סֵפֶר","sefer","ספר","గ్రంథము","book/scroll","Noun","H5612"
"בְּרִית","berit","ברה","నిబంధన","covenant","Noun","H1285"
"רָאָה","ra'ah","ראה","చూచుట","to see","Verb","H7200"
"אֶבֶן","eben","אבן","రాయి","stone","Noun","H68"
"תּוֹרָה","torah","ירה","ధర్మశాస్త్రము","law/instruction","Noun","H8451"
"מִצְוָה","mitsvah","צוה","ఆజ్ఞ","commandment","Noun","H4687"
"כָּבוֹד","kavod","כבד","మహిమ","glory/honor","Noun","H3519"
"עָנָן","anan","ענן","మేఘము","cloud","Noun","H6051"
"אֵשׁ","esh","אש","అగ్ని","fire","Noun","H784"
"תְּרוּמָה","terumah","רום","అర్పణ, కానుక","offering, contribution","Noun","H8641"
"זָהָב","zahav","זהב","బంగారము","gold","Noun","H2091"
"כֶּסֶף","kesef","כסף","వెండి","silver","Noun","H3701"
"נְחֹשֶׁת","nechoshet","נחש","ఇత్తడి, రాగి","bronze, copper","Noun","H5178"
"תְּכֵלֶת","tekelet","תכל","నీలవర్ణము","blue, violet","Noun","H8504"
"שִׁטִּים","shittim","שטה","తుమ్మ (అకాసియా)","acacia wood","Noun","H7848"
"מִקְדָּשׁ","mikdash","קדש","పరిశుద్ధ స్థలము","sanctuary, holy place","Noun","H4720"
"מִשְׁכָּן","mishkan","שכן","నివాసము, మందిరము","tabernacle, dwelling place","Noun","H4908"
"תַּבְנִית","tavnit","בנה","నమూనా, ఆకారము","pattern, plan, model","Noun","H8403"
"אָרוֹן","aron","ארן","మందసము, పెట్టె","ark, chest","Noun","H727"
"כַּפֹּרֶת","kapporet","כפר","కరుణాపీఠము","mercy seat, atonement cover","Noun","H3727"
"כְּרֻבִים","keruvim","כרוב","కెరూబులు","cherubim","Noun","H3742"
"שֻׁלְחָן","shulchan","שלח","బల్ల, మేజా","table","Noun","H7979"
"מְנוֹרָה","menorah","נור","దీపస్తంభము","lampstand, candelabra","Noun","H4501"
"נֵרֹת","nerot","נר","దీపములు","lamps","Noun","H5216"
"מִשְׁכָּן","Mishkān","שָׁכַן","నివాసము","Tabernacle / Dwelling place","Noun","H4908"
"יְרִיעָה","Yerîʿâ","יָרַע","తెర","Curtain / Tent-wing","Noun","H3407"
"שֵׁשׁ","Šēš","שׁשׁ","సన్నని నార","Fine linen","Noun","H8336"
"תְּכֵלֶת","Tekēlet","תכל","నీలవర్ణము","Blue / Violet","Noun","H8504"
"אַרְגָּמָן","’Argāmān","ארגמן","ఊదా రంగు","Purple","Noun","H713"
"תּוֹלַעַת שָׁנִי","Tôlaʿat šānî","תּוֹלָע / שָׁנִי","నలుపు ఎరుపు వర్ణము","Scarlet material","Noun phrase","H8438 / H8144"
"כְּרֻבִים","Kerubîm","כְּרוּב","కెరూబులు","Cherubim","Noun (Plural)","H3742"
"חֹשֵׁב","Ḥōšēv","חָשַׁב","నైపుణ్యము గలవాడు","Skillful weaver / Craftsman","Noun/Participle","H2803"
"אֹרֶךְ","’Ōreḵ","אָרַךְ","పొడవు","Length","Noun","H753"
"רֹחַב","Rōḥaḇ","רָחַב","వెడల్పు","Width / Breadth","Noun","H7341"
"לֻלָאֹת","Lulā’ōṯ","ללה","ఉచ్చులు","Loops","Noun (Plural)","H3924"
"קַרְסֵי","Qarsê","קֶרֶס","కొక్కెములు","Clasps / Hooks","Noun","H7165"
"עֵז","‘Ēz","עזז","మేక","Goat / Goat's hair","Noun","H5795"
"קֶרֶשׁ","Qereš","קָרַשׁ","పలక","Board / Plank / Frame","Noun","H7175"
"עֲצֵי שִׁטִּים","ʿĂṣê Šiṭṭîm","עֵץ / שִׁטָּה","తుమ్మ కఱ్ఱ","Acacia wood","Noun phrase","H6086 / H7848"
"אֶדֶן","’Eden","אדן","దిమ్మ / పీఠము","Socket / Base","Noun","H134"
"בְּרִיחַ","Berîaḥ","בָּרַח","అడ్డకమ్మ","Bar / Bolt","Noun","H1280"
"זָהָב","Zāhāv","זהב","బంగారము","Gold","Noun","H2091"
"פָּרֹכֶת","Pārōḵet","פָּרַךְ","అడ్డతెర","Veil / Curtain","Noun","H6532"
"עַמּוּד","‘Ammûd","עָמַד","స్తంభము","Pillar / Column","Noun","H5982"
"מָסָךְ","Māsāḵ","סָכַךְ","తెర / ద్వారబంధపు తెర","Screen / Covering","Noun","H4539"
"מִזְבֵּחַ","mizbe'ach","זָבַח","బలిపీఠము","altar","Noun","H4196"
"שִׁטִּים","shittim","שִׁטָּה","తుమ్మ కర్ర","acacia wood","Noun","H7848"
"אַמָּה","ammah","אֵם","మూర","cubit","Noun","H520"
"רָבוּעַ","rabua","רָבַע","చతురస్రము","square","Adjective","H7251"
"קֶרֶן","qeren","קָרַן","కొమ్ము","horn","Noun","H7161"
"נְחֹשֶׁת","nechoshet","נָחָשׁ","ఇత్తడి","bronze / copper","Noun","H5178"
"סִּיר","siyr","סִיר","కుండ / గిన్నె","pot / pan","Noun","H5518"
"מִכְבָּר","mikbar","כָּבַר","జల్లెడ వంటి జాలీ","grate / network","Noun","H4345"
"טַבַּעַת","tabba'at","טָבַע","ఉంగరము / కడియము","ring","Noun","H2885"
"בַּד","bad","בָּדַד","మోతకర్ర","stave / pole","Noun","H905"
"חָצֵר","chatzer","חָצַר","ఆవరణము","courtyard","Noun","H2691"
"קֶלַע","qela","קָלַע","తెరలు","hangings / curtains","Noun","H7050"
"עַמּוּד","ammud","עָמַד","స్తంభము","pillar / column","Noun","H5982"
"אֶדֶן","eden","אָדַן","దిమ్మ / పీఠము","socket / base","Noun","H134"
"וָו","vav","וָו","కొక్కెము","hook","Noun","H2053"
"כֶּסֶף","kesep","כָּסַף","వెండి","silver","Noun","H3701"
"שֶׁמֶן","shemen","שָׁמַן","తైలము / నూనె","oil","Noun","H8081"
"זַיִת","zayit","זַיִת","ఒలీవ","olive","Noun","H2132"
"זָךְ","zak","זָכַךְ","నిర్మలమైన","pure / clear","Adjective","H2134"
"מָאוֹר","ma'or","אוֹר","జ్యోతి / వెలుగు","light / luminary","Noun","H3974"
"נֵר","ner","נִיר","దీపము","lamp","Noun","H5216"
"אֹהֶל","ohel","אָהַל","గుడారము","tent","Noun","H168"
"מוֹעֵד","mo'ed","יָעַד","ప్రత్యక్షపు గుడారము / నియామక కాలము","meeting / appointed time","Noun","H4150"
"פָּרֹכֶת","paroket","פָּרַךְ","అడ్డతెర","veil / curtain","Noun","H6532"
"עֵדוּת","edut","עוּד","శాసనములు","testimony","Noun","H5715"
"אַהֲרֹן","Aharon","Aharon","అహరోను","Aaron","Proper Noun","H175"
"כֹּהֵן","Kohen","Kahan","యాజకుడు","Priest","Noun","H3548"
"קֹדֶשׁ","Qodesh","Qadash","పరిశుద్ధమైన","Holy / Sacredness","Noun","H6944"
"בֶּגֶד","Beged","Bagad","వస్త్రము","Garment / Clothing","Noun","H899"
"אֵפוֹד","Ephod","Aphad","ఎఫోదు","Ephod (priestly vest)","Noun","H646"
"חֹשֶׁן","Choshen","Chashan","పతకము / రొమ్ముపట్టి","Breastplate","Noun","H2833"
"מְעִיל","Me'il","Ma'al","నిలువుటంగీ","Robe / Mantle","Noun","H4598"
"מִצְנֶפֶת","Mitznephet","Tsanaph","పాగా / మకుటము","Turban / Mitre","Noun","H4701"
"אַבְנֵט","Avnet","Avnet","దట్టి / నడుముకట్టు","Sash / Girdle","Noun","H73"
"זָהָב","Zahav","Zahav","బంగారము","Gold","Noun","H2091"
"תְּכֵלֶת","Tekhelet","Tekhelet","నీలము","Blue (violet-blue fabric)","Noun","H8504"
"אַרְגָּמָן","Argaman","Argaman","ఊదా రంగు","Purple","Noun","H713"
"שֵׁשׁ","Shesh","Shish","సన్ననార","Fine linen","Noun","H8336"
"כָּתֵף","Kateph","Kataph","భుజము","Shoulder / Shoulder-piece","Noun","H3802"
"אֶבֶן","Even","Aban","రాయి / రత్నము","Stone / Gem","Noun","H68"
"שֵׁם","Shem","Shem","పేరు","Name","Noun","H8034"
"חָכָם","Chakam","Chakam","జ్ఞాని / నైపుణ్యముగల","Wise / Skillful","Adjective","H2450"
"פַּעֲמֹן","Pa'amon","Pa'am","గంట","Bell","Noun","H6472"
"רִמּוֹן","Rimmon","Raman","దానిమ్మ పండు","Pomegranate","Noun","H7416"
"צִיץ","Tsits","Tsuts","పట్టా / పువ్వు","Plate / Blossom / Flower","Noun","H6731"
"מִשְׁפָּט","Mishpat","Shaphat","తీర్పు","Judgment / Ordinance","Noun","H4941"
"תּוֹלַעַת","Tola'at","Tola","సింధూర వర్ణము","Scarlet / Crimson","Noun","H8438"
"קָדַשׁ","qadash","קדשׁ","ప్రతిష్టించు / పరిశుద్ధపరచు","to be set apart, consecrated, or holy","Verb","H6942"
"כֹּהֵן","kohen","כהן","యాజకుడు","priest","Noun","H3548"
"פַּר","par","פרר","కోడె లేదా యౌవనపు ఎద్దు","bull, young bullock","Noun","H6499"
"אַיִל","ayil","איל","పొట్టేలు","ram","Noun","H352"
"מָשַׁח","mashach","משׁח","అభిషేకించు","to anoint","Verb","H4886"
"מִזְבֵּחַ","mizbeach","זבח","బలిపీఠము","altar","Noun","H4196"
"דָּם","dam","דם","రక్తము","blood","Noun","H1818"
"עֹלָה","olah","עלה","దహనబలి","burnt offering","Noun","H5930"
"לֶחֶם","lechem","לחם","రొట్టె","bread","Noun","H3899"
"שֶׁמֶן","shemen","שׁמן","నూనె","oil","Noun","H8081"
"בֶּגֶד","beged","בגד","వస్త్రము","garment, clothing","Noun","H899"
"פֶּתַח","petach","פתח","ద్వారము","entrance, doorway","Noun","H6607"
"מִלּוּא","millu","מלא","ప్రతిష్ఠ లేదా నియామకం","consecration, installation, filling","Noun","H4394"
"רֵיחַ","reyach","רוח","సువాసన","aroma, scent","Noun","H7381"
"נִיחֹחַ","nichoach","נוח","ఇంపైన / శాంతినిచ్చే","soothing, quieting, sweet","Adjective/Noun","H5207"
"מִזְבֵּחַ","mizbeah","זבח","బలిపీఠము","Altar","Noun","H4196"
"קְטֹרֶת","qetoret","קטר","ధూపద్రవ్యము","Incense","Noun","H7004"
"זָהָב","zahav","זהב","బంగారము","Gold","Noun","H2091"
"אָמָּה","ammah","אם","మూర","Cubit","Noun","H0520"
"קֶרֶן","keren","קרן","కొమ్ము","Horn","Noun","H7161"
"כֹּפֶר","kopher","כפר","ప్రాయశ్చిత్తార్థ క్రయధనము","Ransom or Atonement price","Noun","H3724"
"שֶׁקֶל","sheqel","שׁקל","షెకెలు","Shekel","Noun","H8255"
"תְּרוּמָה","terumah","רום","ప్రతిష్ఠితార్పణము","Contribution or Offering","Noun","H8641"
"כִּיּוֹר","kiyyor","כור","గంగాళము","Basin or Laver","Noun","H3595"
"נְחֹשֶׁת","nehoshet","נחשׁ","ఇత్తడి","Bronze or Copper","Noun","H5178"
"רָחַץ","rahats","רחץ","కడుగుట","To wash or Bathe","Verb","H7364"
"שֶׁמֶן","shemen","שׁמן","తైలము","Oil","Noun","H8081"
"מִשְׁחָה","mishchah","משׁח","అభిషేకము","Anointing","Noun","H4888"
"קֹדֶשׁ","qodesh","קדשׁ","పరిశుద్ధము","Holy","Noun","H6944"
"בֹּשֶׂם","bosem","בשׂם","సుగంధద్రవ్యము","Spice or Fragrance","Noun","H1314"
"בְּצַלְאֵל","Betsal'el","בְּצַלְאֵל","బెసలేలు","Bezalel (In the shadow of God)","Proper Noun","H1212"
"חָכְמָה","Chokhmah","חָכַם","జ్ఞానము","Wisdom","Noun","H2451"
"תְּבוּנָה","Tevunah","בּוּן","వివేచన","Understanding","Noun","H8394"
"דַּעַת","Da'at","יָדַע","తెలివి","Knowledge","Noun","H1847"
"מְלָאכָה","Melakhah","לָאַךְ","పని/శిల్పకళ","Work/Craftsmanship","Noun","H4399"
"זָהָב","Zahav","זָהָב","బంగారము","Gold","Noun","H2091"
"כֶּסֶף","Kesef","כָּסַף","వెండి","Silver","Noun","H3701"
"נְחֹשֶׁת","Nechoshet","נְחֹשֶׁת","ఇత్తడి","Bronze/Copper","Noun","H5178"
"אֶבֶן","Even","אֶבֶן","రాయి","Stone","Noun","H68"
"עֵץ","Etz","עֵץ","కఱ్ఱ/మ్రాను","Wood/Tree","Noun","H6086"
"אֹהֶל","Ohel","אָהַל","గుడారము","Tent/Tabernacle","Noun","H168"
"אָרֹן","Aron","אָרַן","మందసము","Ark/Chest","Noun","H727"
"כַּפֹּרֶת","Kapporet","כָּפַר","కరుణాపీఠము","Mercy seat/Atonement cover","Noun","H3727"
"שַׁבָּת","Shabbat","שָׁבַת","విశ్రాంతిదినము","Sabbath","Noun","H7676"
"אוֹת","Ot","אוֹת","సూచన","Sign/Token","Noun","H226"
"קָדוֹשׁ","Kadosh","קָדַשׁ","పరిశుద్ధమైన","Holy/Sacred","Adjective","H6918"
"לוּחֹת","Luchot","לוּחַ","పలకలు","Tablets","Noun","H3871"
"אֶצְבַּע","Etzba","אֶצְבַּע","వ్రేలు","Finger","Noun","H676"
"מֹשֶׁה","Mosheh","משה","మోషే","Moses","Proper Noun","H4872"
"עַם","Am","עםם","ప్రజలు","People","Noun","H5971"
"בּוֹשֵׁשׁ","Boshesh","בוש","ఆలస్యం చేయుట","To delay","Verb","H954"
"קָהַל","Kahal","קהל","పోగు చేయుట / సమకూడుట","To assemble / gather","Verb","H6950"
"עֵגֶל","Egel","עגל","దూడ","Calf","Noun","H5695"
"זָהָב","Zahav","זהב","బంగారం","Gold","Noun","H2091"
"לוּחֹת","Luchot","לוח","పలకలు","Tablets","Noun","H3871"
"חַטָּאָה","Chattaah","חטא","పాపము","Sin","Noun","H2401"
"עָשָׂה","Asah","עשה","చేయుట","To make / do","Verb","H6213"
"שִׁחֵת","Shichet","שחת","చెడగొట్టుట / నాశనము చేయుట","To corrupt / destroy","Verb","H7843"
"קְשֵׁה-עֹרֶף","Qesheh-oreph","קשה / ערף","మొండితనముగల / లోబడని","Stiff-necked","Adjective","H7186 / H6203"
"נָחַם","Nacham","נחם","పశ్చాత్తాపపడుట / మనసు మార్చుకొనుట","To relent / repent","Verb","H5162"
"שָׁבַר","Shavar","שבר","పగులగొట్టుట","To break","Verb","H7665"
"קוֹל","Qol","קול","స్వరము / శబ్దము","Voice / Sound","Noun","H6963"
"מְחֹלֹת","Mecholot","מחול","నాట్యములు","Dances","Noun","H4246"
"נֶזֶם","Nezem","נזם","పోగు / ఆభరణము","Ring / Earring","Noun","H5141"
"מִכְתָּב","Mikhtav","כתב","రాత / లిఖితము","Writing","Noun","H4385"
"זָבַח","Zavach","זבח","బలి అర్పించుట","To sacrifice","Verb","H2076"
"אַף","Aph","אנף","కోపము","Anger / Nose","Noun","H639"
"חָרָה","Charah","חרה","రగులుకొనుట / కోపగించుకొనుట","To burn / kindle with anger","Verb","H2734"
"עָלָה","alah","עלה","వెళ్ళుట / పైకి వెళ్ళు","to go up / ascend","Verb","H5927"
"אֶרֶץ","erets","ארץ","దేశము / భూమి","land / earth","Noun","H776"
"נִשְׁבַּעְתִּי","nishba'ti","שׁבע","నేను ప్రమాణము చేశాను","I have sworn","Verb","H7650"
"מַלְאָךְ","mal’akh","לאך","దూత","messenger / angel","Noun","H4397"
"גָּרַשׁ","garash","גרש","వెళ్లగొట్టు","to drive out / cast out","Verb","H1644"
"זָבַת","zavat","זוב","ప్రవహించు","flowing","Verb","H2100"
"חָלָב","chalav","חלב","పాలు","milk","Noun","H2461"
"דְּבָשׁ","devash","דבש","తేనె","honey","Noun","H1706"
"אָבַל","aval","אבל","దుఃఖించు","to mourn","Verb","H56"
"עֲדִי","adi","עדה","ఆభరణము","ornament","Noun","H5716"
"אֹהֶל","ohel","אהל","గుడారము","tent","Noun","H168"
"מועֵד","mo'ed","יעד","ప్రత్యక్షపు (గుడారము) / నిమిత్రము","appointed time / meeting","Noun","H4150"
"מַחֲנֶה","machaneh","חנה","పాళెము","camp","Noun","H4264"
"עַמּוּד","ammud","עמד","స్తంభము","pillar","Noun","H5982"
"עָנָן","anan","ענן","మేఘము","cloud","Noun","H6051"
"פָּנִים","panim","פנה","ముఖము / సన్నిధి","faces / presence","Noun","H6440"
"רֵעַ","rea","רעה","స్నేహితుడు","friend / companion","Noun","H7453"
"חֵן","chen","חנן","కృప / దయ","grace / favor","Noun","H2580"
"יָדַע","yada","ידע","తెలుసుకొనుట","to know","Verb","H3045"
"דֶּרֶךְ","derekh","דרך","మార్గము","way / road","Noun","H1870"
"נוּחַ","nuach","נוח","విశ్రాంతినిచ్చుట","to rest / give rest","Verb","H5117"
"כָּבוֹד","kavod","כבד","మహిమ","glory / honor","Noun","H3519"
"טוּב","tuv","טוב","మేలు / మంచితనము","goodness","Noun","H2898"
"חָנַן","chanan","חנן","కనికరింతును","to be gracious","Verb","H2603"
"רָחַם","racham","רחם","జాలిపడుట / కరుణించుట","to show mercy / compassion","Verb","H7355"
"מָקוֹם","maqom","קום","స్థలము","place","Noun","H4725"
"צוּר","tsur","צור","బండ","rock","Noun","H6697"
"נִקְרָה","niqrah","נקר","తొర్ర / సందు","cleft / hollow","Noun","H5366"
